"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"poblacion"
"130";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2029;42,0207561156412
"131";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2030;42,3690476190476
"132";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2031;42,8362004487659
"133";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2032;43,3771600300526
"134";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2033;43,7039274924471
"135";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2034;44,1669195751138
"136";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2035;44,7154843630816
"137";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2002;31,3954767726161
"138";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2003;31,9846547314578
"139";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2004;32,4237844940867
"140";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2005;32,9226150767178
"141";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2006;33,3716397849462
"142";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2007;33,6017520215633
"143";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2008;34,167902899528
"144";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2009;34,5296495956873
"145";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2010;35,0060565275909
"146";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2011;35,4586971121558
"147";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2012;35,9625167336011
"148";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2013;36,3478260869565
"149";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2014;36,874415497662
"150";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2015;37,5023348899266
"151";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2016;38,0507343124166
