"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"mayor";"menor";"menores_porcentaje"
"500";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2025;21070;7299;0,346416706217371
"501";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2026;21192;7190;0,339278973197433
"502";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2027;21317;7076;0,331941642820284
"503";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2028;21439;6961;0,324688651522926
"504";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2029;21551;6854;0,31803628601921
"505";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2030;21658;6747;0,311524609843938
"506";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2031;21770;6642;0,305098759761139
"507";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2032;21872;6537;0,298875274323336
"508";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2033;21976;6425;0,292364397524572
"509";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2034;22057;6333;0,287119735231446
"510";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2035;22108;6267;0,283472046318075
"511";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2002;6785;3550;0,523212969786293
"512";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2003;6530;3369;0,515926493108729
"513";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2004;6294;3203;0,508897362567525
"514";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2005;6081;3041;0,500082223318533
"515";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2006;5889;2889;0,490575649516047
"516";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2007;5721;2748;0,480335605663346
"517";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2008;5570;2620;0,470377019748653
"518";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2009;5438;2496;0,458992276572269
"519";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2010;5316;2382;0,448081264108352
"520";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2011;5211;2277;0,436960276338515
"521";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2012;5123;2173;0,424165528010931
"522";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2013;5055;2075;0,410484668644906
